CustomerID,PrimaryCountry,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,CustomerLifetimeDays,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,UniqueProducts,AvgQty,Cluster_K4,Segment_KMeans,Segment_DBSCAN,IsDBSCANOutlier
12374,Austria,26,4,2989.2200000000003,1362,747.3,563,4,3,5,435,79,340.5,3,🏆 Champions,0,False
12375,Finland,11,2,457.5,178,228.75,88,5,2,2,522,14,89.0,0,💙 Loyal Customers,0,False
12376,Switzerland,390,2,503.15,240,251.58,28,2,2,2,222,11,120.0,2,⚠️ At Risk,0,False
12377,Switzerland,316,4,3426.32,2105,856.58,274,2,3,5,235,129,526.25,3,🏆 Champions,0,False
12378,Switzerland,130,2,5416.32,3316,2708.16,433,3,2,5,325,281,1658.0,3,🏆 Champions,-1,True
12379,Belgium,82,4,1620.22,815,405.06,453,3,3,4,334,58,203.75,0,💙 Loyal Customers,0,False
12380,Belgium,22,11,9676.3,3355,879.66,641,4,5,5,455,156,305.0,3,🏆 Champions,0,False
12381,Norway,5,5,1845.31,808,369.06,115,5,4,4,544,70,161.6,3,🏆 Champions,0,False
12383,Belgium,185,5,1850.56,1532,370.11,168,3,4,4,344,84,306.4,0,💙 Loyal Customers,0,False
12384,Switzerland,29,2,585.27,126,292.64,93,4,2,2,422,26,63.0,0,💙 Loyal Customers,0,False
12385,Belgium,380,1,1938.4,612,1938.4,0,2,1,4,214,65,612.0,2,⚠️ At Risk,0,False
12386,Australia,338,2,401.9,354,200.95,29,2,2,2,222,10,177.0,2,⚠️ At Risk,0,False
12387,Australia,416,1,143.94,134,143.94,0,1,1,1,111,9,134.0,1,😴 Inactive Customers,0,False
12388,Australia,16,8,3901.11,2001,487.64,567,5,4,5,545,83,250.12,3,🏆 Champions,0,False
12389,Australia,403,3,1433.33,614,477.78,253,2,3,4,234,41,204.67,0,💙 Loyal Customers,0,False
12390,Belgium,80,1,549.84,353,549.84,0,3,1,2,312,32,353.0,2,⚠️ At Risk,0,False
12391,Cyprus,22,6,2724.84,1204,454.14,641,4,4,4,444,241,200.67,3,🏆 Champions,0,False
12392,Australia,592,1,234.75000000000003,73,234.75,0,1,1,1,111,7,73.0,1,😴 Inactive Customers,0,False
12393,Australia,73,6,2399.45,1311,399.91,356,3,4,4,344,63,218.5,0,💙 Loyal Customers,0,False
12394,Belgium,64,2,1272.48,819,636.24,154,3,2,4,324,26,409.5,0,💙 Loyal Customers,0,False
12395,Belgium,20,15,4721.17,3205,314.74,583,5,5,5,555,145,213.67,3,🏆 Champions,0,False
12396,RSA,675,1,931.43,591,931.43,0,1,1,3,113,65,591.0,2,⚠️ At Risk,0,False
12397,Belgium,36,2,2409.9,1263,1204.95,100,4,2,4,424,110,631.5,3,🏆 Champions,0,False
12398,Switzerland,46,1,1635.66,1394,1635.66,0,4,1,4,414,85,1394.0,2,⚠️ At Risk,-1,True
12399,Belgium,120,7,1962.3,2198,280.33,525,3,4,4,344,67,314.0,0,💙 Loyal Customers,0,False
12400,Australia,415,1,205.25,91,205.25,0,1,1,1,111,11,91.0,1,😴 Inactive Customers,0,False
12401,Belgium,304,1,84.3,11,84.3,0,2,1,1,211,5,11.0,1,😴 Inactive Customers,0,False
12402,Belgium,324,6,1256.9,584,209.48,347,2,4,4,244,43,97.33,0,💙 Loyal Customers,0,False
12403,Denmark,50,2,1019.36,260,509.68,472,4,2,3,423,5,130.0,0,💙 Loyal Customers,-1,True
12404,Finland,683,1,63.24,1,63.24,0,1,1,1,111,1,1.0,1,😴 Inactive Customers,-1,True
12405,Finland,149,1,1710.39,857,1710.39,0,3,1,4,314,54,857.0,2,⚠️ At Risk,0,False
12406,Denmark,23,5,6390.36,3416,1278.07,675,4,4,5,445,114,683.2,3,🏆 Champions,0,False
12407,Belgium,50,5,1708.12,1416,341.62,215,4,4,4,444,57,283.2,0,💙 Loyal Customers,0,False
12408,Belgium,33,8,4340.77,2229,542.6,466,4,4,5,445,104,278.62,3,🏆 Champions,0,False
12409,Switzerland,79,7,23419.29,13143,3345.61,487,3,4,5,345,177,1877.57,3,🏆 Champions,-1,True
12410,Switzerland,309,3,1013.71,341,337.9,194,2,3,3,233,36,113.67,0,💙 Loyal Customers,0,False
12411,Australia,410,1,346.9,138,346.9,0,2,1,2,212,22,138.0,2,⚠️ At Risk,0,False
12412,Denmark,75,6,2596.93,1997,432.82,465,3,4,4,344,82,332.83,3,🏆 Champions,0,False
12413,France,67,4,999.45,319,249.86,336,3,3,3,333,41,79.75,0,💙 Loyal Customers,0,False
12414,Austria,218,6,952.41,495,158.74,246,2,4,3,243,21,82.5,0,💙 Loyal Customers,0,False
12415,Australia,25,28,144458.37,91447,5159.23,503,4,5,5,455,498,3265.96,3,🏆 Champions,-1,True
12416,Australia,657,1,202.56,132,202.56,0,1,1,1,111,11,132.0,2,⚠️ At Risk,0,False
12417,Belgium,4,20,6797.41,2884,339.87,730,5,5,5,555,270,144.2,3,🏆 Champions,0,False
12418,Switzerland,113,4,2021.2,1088,505.3,518,3,3,4,334,90,272.0,0,💙 Loyal Customers,0,False
12419,Spain,386,2,503.01,231,251.5,28,2,2,2,222,23,115.5,0,💙 Loyal Customers,0,False
12420,Cyprus,64,1,600.39,345,600.39,0,3,1,2,312,29,345.0,2,⚠️ At Risk,0,False
12421,Spain,16,6,1098.6,652,183.1,490,5,4,3,543,44,108.67,0,💙 Loyal Customers,0,False
12422,Switzerland,96,17,5231.8,2596,307.75,626,3,5,5,355,137,152.71,3,🏆 Champions,0,False
12423,Belgium,1,10,2622.39,1793,262.24,465,5,5,4,554,128,179.3,3,🏆 Champions,0,False
12424,Australia,163,4,3340.03,2025,835.01,386,3,3,5,335,78,506.25,3,🏆 Champions,0,False
12425,Portugal,79,2,1741.41,1147,870.7,370,3,2,4,324,87,573.5,0,💙 Loyal Customers,0,False
12426,Germany,195,2,1345.21,584,672.6,468,2,2,4,224,73,292.0,0,💙 Loyal Customers,0,False
12427,Germany,22,3,825.8000000000001,533,275.27,350,4,3,3,433,26,177.67,0,💙 Loyal Customers,0,False
12428,Finland,26,9,7956.46,3536,884.05,258,4,5,5,455,258,392.89,3,🏆 Champions,0,False
12429,Denmark,10,8,6204.41,2890,775.55,537,5,4,5,545,124,361.25,3,🏆 Champions,0,False
12430,Norway,44,1,256.4,117,256.4,0,4,1,1,411,11,117.0,2,⚠️ At Risk,0,False
12431,Australia,36,27,10432.22,4600,386.38,658,4,5,5,455,244,170.37,3,🏆 Champions,0,False
12432,Norway,43,5,5059.32,1801,1011.86,130,4,4,5,445,107,360.2,3,🏆 Champions,0,False
12433,Norway,1,10,16794.14,13534,1679.41,476,5,5,5,555,285,1353.4,3,🏆 Champions,-1,True
12434,Australia,85,3,1103.43,532,367.81,297,3,3,3,333,62,177.33,0,💙 Loyal Customers,0,False
12435,Denmark,80,6,13925.93,4958,2320.99,658,3,4,5,345,88,826.33,3,🏆 Champions,-1,True
12436,Norway,100,1,509.01,211,509.01,0,3,1,2,312,16,211.0,2,⚠️ At Risk,0,False
12437,France,2,39,12683.4,8000,325.22,736,5,5,5,555,273,205.13,3,🏆 Champions,0,False
12438,Norway,15,2,2906.85,1180,1453.42,126,5,2,4,524,84,590.0,3,🏆 Champions,-1,True
12439,Cyprus,683,2,1142.88,478,571.44,43,1,2,3,123,69,239.0,2,⚠️ At Risk,0,False
12440,Austria,463,2,859.2,331,429.6,255,1,2,3,123,21,165.5,0,💙 Loyal Customers,0,False
12441,France,367,1,173.55,121,173.55,0,2,1,1,211,11,121.0,1,😴 Inactive Customers,0,False
12442,Spain,4,1,172.06,182,172.06,0,5,1,1,511,12,182.0,2,⚠️ At Risk,0,False
12443,Norway,733,1,485.31,182,485.31,0,1,1,2,112,21,182.0,2,⚠️ At Risk,0,False
12444,Norway,22,5,5005.46,1153,1001.09,150,4,4,5,445,138,230.6,3,🏆 Champions,0,False
12445,Spain,23,2,434.98,206,217.49,398,4,2,2,422,24,103.0,0,💙 Loyal Customers,0,False
12446,RSA,58,1,1002.31,351,1002.31,0,4,1,3,413,57,351.0,2,⚠️ At Risk,0,False
12447,Belgium,244,1,476.49,190,476.49,0,2,1,2,212,26,190.0,2,⚠️ At Risk,0,False
12448,Spain,45,1,449.45,243,449.45,0,4,1,2,412,22,243.0,2,⚠️ At Risk,0,False
12449,Belgium,23,6,4835.89,2282,805.98,416,4,4,5,445,125,380.33,3,🏆 Champions,0,False
12450,Spain,157,5,688.2,442,137.64,318,3,4,3,343,31,88.4,0,💙 Loyal Customers,0,False
12451,Switzerland,11,8,12669.88,9359,1583.74,519,5,4,5,545,352,1169.88,3,🏆 Champions,-1,True
12452,Switzerland,17,2,430.5700000000001,185,215.29,0,5,2,2,522,21,92.5,2,⚠️ At Risk,0,False
12453,Austria,135,1,707.09,473,707.09,0,3,1,3,313,43,473.0,2,⚠️ At Risk,0,False
12454,Spain,57,5,16679.78,7703,3335.96,365,4,4,5,445,24,1540.6,3,🏆 Champions,-1,True
12455,Cyprus,74,10,5879.95,3302,588.0,648,3,5,5,355,199,330.2,3,🏆 Champions,0,False
12456,Switzerland,45,3,3181.04,1633,1060.35,210,4,3,5,435,105,544.33,3,🏆 Champions,0,False
12457,Switzerland,67,8,2995.91,1094,374.49,369,3,4,5,345,63,136.75,0,💙 Loyal Customers,0,False
12458,Switzerland,72,4,1777.49,986,444.37,416,3,3,4,334,71,246.5,0,💙 Loyal Customers,0,False
12459,Spain,606,1,454.36,258,454.36,0,1,1,2,112,23,258.0,2,⚠️ At Risk,0,False
12460,Belgium,457,1,326.65,170,326.65,0,1,1,2,112,18,170.0,2,⚠️ At Risk,0,False
12461,Switzerland,95,2,826.88,287,413.44,60,3,2,3,323,35,143.5,0,💙 Loyal Customers,0,False
12462,Spain,19,2,1189.59,536,594.79,285,5,2,3,523,51,268.0,0,💙 Loyal Customers,0,False
12463,Belgium,54,4,1344.78,776,336.2,188,4,3,4,434,65,194.0,0,💙 Loyal Customers,0,False
12464,Belgium,11,8,1212.05,112,151.51,299,5,4,3,543,6,14.0,0,💙 Loyal Customers,-1,True
12465,Belgium,18,2,742.19,479,371.1,152,5,2,3,523,46,239.5,0,💙 Loyal Customers,0,False
12466,France,683,1,56.73,1,56.73,0,1,1,1,111,1,1.0,1,😴 Inactive Customers,-1,True
12467,USA,424,1,132.8,129,132.8,0,1,1,1,111,9,129.0,1,😴 Inactive Customers,0,False
12468,Germany,188,5,3670.74,2201,734.15,495,3,4,5,345,127,440.2,3,🏆 Champions,0,False
12469,Thailand,523,2,3070.54,2552,1535.27,14,1,2,5,125,76,1276.0,2,⚠️ At Risk,-1,True
12470,Unspecified,690,1,211.95,95,211.95,0,1,1,1,111,23,95.0,2,⚠️ At Risk,0,False
12471,Germany,3,79,39918.19,16858,505.29,730,5,5,5,555,255,213.39,3,🏆 Champions,0,False
12472,Germany,33,19,16249.29,10378,855.23,693,4,5,5,455,397,546.21,3,🏆 Champions,0,False
12473,Germany,30,5,3928.05,2414,785.61,162,4,4,5,445,140,482.8,3,🏆 Champions,0,False
12474,Germany,18,31,12372.75,7940,399.12,649,5,5,5,555,369,256.13,3,🏆 Champions,0,False
12475,Germany,54,2,1149.64,771,574.82,356,4,2,3,423,54,385.5,0,💙 Loyal Customers,0,False
12476,Germany,16,23,14083.91,5631,612.34,486,5,5,5,555,358,244.83,3,🏆 Champions,0,False
12477,Germany,23,9,20276.37,6119,2252.93,601,4,5,5,455,295,679.89,3,🏆 Champions,-1,True
12478,Greece,4,1,680.99,236,680.99,0,5,1,3,513,36,236.0,2,⚠️ At Risk,-1,True
12479,Germany,12,1,527.2,385,527.2,0,5,1,2,512,31,385.0,2,⚠️ At Risk,0,False
12480,Germany,29,7,5464.85,2952,780.69,479,4,4,5,445,177,421.71,3,🏆 Champions,0,False
12481,Germany,23,15,12185.51,7158,812.37,585,4,5,5,455,248,477.2,3,🏆 Champions,0,False
12482,Sweden,577,29,23691.4,27042,816.94,77,1,5,5,155,42,932.48,3,🏆 Champions,-1,True
12483,Sweden,18,19,5097.18,2160,268.27,660,5,5,5,555,68,113.68,3,🏆 Champions,0,False
12484,Spain,33,12,6354.1,3266,529.51,649,4,5,5,455,329,272.17,3,🏆 Champions,0,False
12485,Sweden,530,1,708.1,414,708.1,0,1,1,3,113,34,414.0,2,⚠️ At Risk,0,False
12486,Sweden,432,1,1037.28,523,1037.28,0,1,1,3,113,49,523.0,2,⚠️ At Risk,0,False
12487,Sweden,731,1,285.3,174,285.3,0,1,1,1,111,2,174.0,2,⚠️ At Risk,0,False
12488,France,10,3,1298.66,529,432.89,66,5,3,4,534,46,176.33,0,💙 Loyal Customers,0,False
12489,France,337,1,334.93,105,334.93,0,2,1,2,212,15,105.0,2,⚠️ At Risk,0,False
12490,France,6,21,9823.64,5906,467.79,733,5,5,5,555,195,281.24,3,🏆 Champions,0,False
12491,France,39,1,460.4,260,460.4,0,4,1,2,412,25,260.0,2,⚠️ At Risk,0,False
12492,Germany,64,3,715.21,444,238.4,340,3,3,3,333,38,148.0,0,💙 Loyal Customers,0,False
12493,France,166,2,433.74,207,216.87,32,3,2,2,322,20,103.5,0,💙 Loyal Customers,0,False
12494,France,16,9,1815.27,979,201.7,561,5,5,4,554,83,108.78,3,🏆 Champions,0,False
12495,Sweden,641,1,357.4,130,357.4,0,1,1,2,112,17,130.0,2,⚠️ At Risk,0,False
12496,Spain,621,2,45.34,30,22.67,0,1,2,1,121,10,15.0,1,😴 Inactive Customers,-1,True
12497,Germany,82,3,6248.5,5685,2082.83,563,3,3,5,335,41,1895.0,3,🏆 Champions,-1,True
12498,Germany,22,3,403.7000000000001,159,134.57,36,4,3,2,432,21,53.0,0,💙 Loyal Customers,0,False
12499,Germany,561,1,393.72,302,393.72,0,1,1,2,112,27,302.0,2,⚠️ At Risk,0,False
12500,Germany,24,19,5955.21,3377,313.43,650,4,5,5,455,88,177.74,3,🏆 Champions,0,False
12501,Germany,337,1,2169.39,1783,2169.39,0,2,1,4,214,149,1783.0,2,⚠️ At Risk,-1,True
12502,Spain,96,5,3723.87,820,744.77,214,3,4,5,345,102,164.0,3,🏆 Champions,0,False
12503,Spain,585,1,1126.0,561,1126.0,0,1,1,3,113,2,561.0,2,⚠️ At Risk,-1,True
12504,Germany,19,4,779.05,458,194.76,578,5,3,3,533,11,114.5,0,💙 Loyal Customers,0,False
12505,Italy,409,1,955.2,324,955.2,0,2,1,3,213,42,324.0,2,⚠️ At Risk,0,False
12506,France,233,1,73.5,23,73.5,0,2,1,1,211,23,23.0,1,😴 Inactive Customers,0,False
12507,Spain,135,4,1844.06,1256,461.02,450,3,3,4,334,46,314.0,0,💙 Loyal Customers,0,False
12508,France,27,2,397.88,271,198.94,3,4,2,2,422,57,135.5,0,💙 Loyal Customers,-1,True
12509,France,285,1,176.5,55,176.5,0,2,1,1,211,7,55.0,1,😴 Inactive Customers,0,False
12510,Spain,143,9,5178.02,2049,575.34,593,3,5,5,355,94,227.67,3,🏆 Champions,0,False
12511,Greece,429,1,3084.02,1753,3084.02,0,1,1,5,115,190,1753.0,2,⚠️ At Risk,-1,True
12512,Israel,67,2,132.18,96,66.09,0,3,2,1,321,31,48.0,1,😴 Inactive Customers,-1,True
12513,France,113,1,612.29,462,612.29,0,3,1,3,313,35,462.0,2,⚠️ At Risk,0,False
12514,Italy,268,2,1597.76,840,798.88,374,2,2,4,224,76,420.0,0,💙 Loyal Customers,0,False
12515,Italy,354,1,383.7,131,383.7,0,2,1,2,212,16,131.0,2,⚠️ At Risk,0,False
12516,Germany,78,4,2648.62,1952,662.16,522,3,3,4,334,49,488.0,3,🏆 Champions,0,False
12517,Germany,29,5,2481.6,1361,496.32,162,4,4,4,444,232,272.2,3,🏆 Champions,0,False
12518,Germany,1,5,2056.89,1318,411.38,110,5,4,4,544,84,263.6,3,🏆 Champions,0,False
12519,Germany,64,2,716.54,387,358.27,413,3,2,3,323,34,193.5,0,💙 Loyal Customers,0,False
12520,Germany,80,5,2634.26,1439,526.85,194,3,4,4,344,121,287.8,3,🏆 Champions,0,False
12521,Germany,143,1,599.68,309,599.68,0,3,1,2,312,38,309.0,2,⚠️ At Risk,0,False
12522,Germany,40,2,192.72,194,96.36,12,4,2,1,421,11,97.0,1,😴 Inactive Customers,-1,True
12523,France,20,23,4352.35,2263,189.23,713,5,5,5,555,176,98.39,3,🏆 Champions,0,False
12524,Germany,10,17,11126.11,7178,654.48,660,5,5,5,555,157,422.24,3,🏆 Champions,0,False
12525,France,499,3,973.73,509,324.58,149,1,3,3,133,56,169.67,0,💙 Loyal Customers,0,False
12526,Germany,1,3,1316.66,632,438.89,94,5,3,4,534,64,210.67,3,🏆 Champions,0,False
12527,Germany,82,5,735.51,526,147.1,448,3,4,3,343,26,105.2,0,💙 Loyal Customers,0,False
12528,Germany,10,6,1933.48,756,322.25,303,5,4,4,544,50,126.0,0,💙 Loyal Customers,0,False
12529,France,529,1,316.48,192,316.48,0,1,1,2,112,21,192.0,2,⚠️ At Risk,0,False
12530,Germany,60,9,3759.26,2713,417.7,583,3,5,5,355,94,301.44,3,🏆 Champions,0,False
12531,Germany,15,2,1933.2,1119,966.6,672,5,2,4,524,126,559.5,3,🏆 Champions,0,False
12532,France,31,1,349.83000000000004,153,349.83,0,4,1,2,412,16,153.0,2,⚠️ At Risk,0,False
12533,Germany,628,2,1367.89,704,683.94,111,1,2,4,124,63,352.0,0,💙 Loyal Customers,0,False
12534,Germany,131,1,1089.18,651,1089.18,0,3,1,3,313,63,651.0,2,⚠️ At Risk,0,False
12535,France,92,2,716.35,219,358.18,95,3,2,3,323,28,109.5,0,💙 Loyal Customers,0,False
12536,France,44,3,12601.830000000002,2803,4200.61,16,4,3,5,435,260,934.33,3,🏆 Champions,-1,True
12537,Sweden,409,1,732.94,449,732.94,0,2,1,3,213,43,449.0,2,⚠️ At Risk,0,False
12538,Spain,30,2,640.45,336,320.23,349,4,2,3,423,33,168.0,0,💙 Loyal Customers,0,False
12539,Spain,23,7,11214.75,4535,1602.11,694,4,4,5,445,276,647.86,3,🏆 Champions,0,False
12540,Spain,20,33,22254.49,11019,674.38,713,5,5,5,555,354,333.91,3,🏆 Champions,0,False
12541,Spain,30,3,981.18,680,327.06,251,4,3,3,433,46,226.67,0,💙 Loyal Customers,0,False
12542,Spain,485,2,481.88,522,240.94,156,1,2,2,122,39,261.0,0,💙 Loyal Customers,0,False
12543,Spain,449,1,980.25,688,980.25,0,1,1,3,113,43,688.0,2,⚠️ At Risk,0,False
12544,Spain,37,1,372.7,136,372.7,0,4,1,2,412,19,136.0,2,⚠️ At Risk,0,False
12545,Spain,76,2,1000.39,523,500.2,184,3,2,3,323,42,261.5,0,💙 Loyal Customers,0,False
12546,Spain,47,2,1161.5,633,580.75,31,4,2,3,423,59,316.5,0,💙 Loyal Customers,0,False
12547,Spain,198,3,383.58,309,127.86,303,2,3,2,232,13,103.0,0,💙 Loyal Customers,0,False
12548,Spain,167,1,95.2,49,95.2,0,3,1,1,311,5,49.0,1,😴 Inactive Customers,0,False
12549,USA,576,6,1575.68,1366,262.61,122,1,4,4,144,38,227.67,0,💙 Loyal Customers,0,False
12550,Spain,80,1,964.83,569,964.83,0,3,1,3,313,57,569.0,2,⚠️ At Risk,0,False
12551,Spain,358,1,168.0,100,168.0,0,2,1,1,211,10,100.0,1,😴 Inactive Customers,0,False
12552,Italy,39,2,437.82,88,218.91,1,4,2,2,422,20,44.0,1,😴 Inactive Customers,-1,True
12553,France,9,12,4608.75,2325,384.06,415,5,5,5,555,109,193.75,3,🏆 Champions,0,False
12554,Spain,449,1,468.5,240,468.5,0,1,1,2,112,26,240.0,2,⚠️ At Risk,0,False
12555,Spain,683,1,129.23,1,129.23,0,1,1,1,111,1,1.0,1,😴 Inactive Customers,-1,True
12556,Spain,51,2,599.56,355,299.78,101,4,2,2,422,100,177.5,0,💙 Loyal Customers,0,False
12557,Spain,17,8,18096.14,6382,2262.02,706,5,4,5,545,15,797.75,3,🏆 Champions,-1,True
12558,USA,8,1,269.96,196,269.96,0,5,1,1,511,11,196.0,2,⚠️ At Risk,0,False
12559,Germany,311,2,561.71,283,280.86,9,2,2,2,222,21,141.5,2,⚠️ At Risk,0,False
12560,Germany,6,3,2134.01,1110,711.34,138,5,3,4,534,91,370.0,3,🏆 Champions,0,False
12561,Germany,303,1,238.85,177,238.85,0,2,1,1,211,16,177.0,2,⚠️ At Risk,0,False
12562,France,9,9,4966.92,2327,551.88,427,5,5,5,555,113,258.56,3,🏆 Champions,0,False
12563,Italy,409,1,249.24,113,249.24,0,2,1,1,211,13,113.0,2,⚠️ At Risk,0,False
12564,France,262,1,456.9,133,456.9,0,2,1,2,212,21,133.0,2,⚠️ At Risk,0,False
12565,Saudi Arabia,289,1,145.92000000000002,80,145.92,0,2,1,1,211,9,80.0,1,😴 Inactive Customers,0,False
12566,Germany,87,1,351.65,265,351.65,0,3,1,2,312,19,265.0,2,⚠️ At Risk,0,False
12567,France,23,15,11767.48,5308,784.5,644,4,5,5,455,365,353.87,3,🏆 Champions,0,False
12568,Germany,645,1,70.0,48,70.0,0,1,1,1,111,5,48.0,1,😴 Inactive Customers,0,False
12569,Germany,3,32,4124.6900000000005,1801,128.9,250,5,5,5,555,92,56.28,3,🏆 Champions,-1,True
12570,Spain,683,1,77.52,1,77.52,0,1,1,1,111,1,1.0,1,😴 Inactive Customers,-1,True
12571,France,40,2,519.61,523,259.8,82,4,2,2,422,31,261.5,0,💙 Loyal Customers,0,False
12572,Germany,9,2,1020.42,452,510.21,43,5,2,3,523,53,226.0,0,💙 Loyal Customers,0,False
12573,France,228,5,717.41,479,143.48,238,2,4,3,243,107,95.8,0,💙 Loyal Customers,0,False
12574,France,316,1,218.45,61,218.45,0,2,1,1,211,11,61.0,1,😴 Inactive Customers,0,False
12575,France,458,2,622.82,315,311.41,69,1,2,3,123,34,157.5,0,💙 Loyal Customers,0,False
12576,Poland,36,8,2142.7200000000003,1494,267.84,491,4,4,4,444,114,186.75,3,🏆 Champions,0,False
12577,France,36,8,1617.1,1191,202.14,701,4,4,4,444,259,148.88,3,🏆 Champions,0,False
12578,Italy,22,4,4642.45,2380,1160.61,422,4,3,5,435,149,595.0,3,🏆 Champions,0,False
12579,France,79,1,440.42,285,440.42,0,3,1,2,312,29,285.0,2,⚠️ At Risk,0,False
12580,Germany,247,2,1052.9,569,526.45,330,2,2,3,223,52,284.5,0,💙 Loyal Customers,0,False
12581,Germany,40,1,197.71,161,197.71,0,4,1,1,411,15,161.0,2,⚠️ At Risk,0,False
12582,Finland,239,4,1980.4,985,495.1,339,2,3,4,234,88,246.25,0,💙 Loyal Customers,0,False
12583,France,3,27,13591.58,8535,503.39,731,5,5,5,555,141,316.11,3,🏆 Champions,0,False
12584,Italy,4,9,2338.15,416,259.79,277,5,5,4,554,44,46.22,3,🏆 Champions,-1,True
12585,Germany,235,2,2040.1,1279,1020.05,117,2,2,4,224,77,639.5,0,💙 Loyal Customers,0,False
12586,Italy,18,4,2062.67,687,515.67,706,5,3,4,534,82,171.75,3,🏆 Champions,0,False
12587,Finland,8,1,144.0,51,144.0,0,5,1,1,511,4,51.0,1,😴 Inactive Customers,-1,True
12588,Finland,40,4,958.78,438,239.7,558,4,3,3,433,31,109.5,0,💙 Loyal Customers,0,False
12589,France,29,8,4695.66,1764,586.96,661,4,4,5,445,121,220.5,3,🏆 Champions,0,False
12590,Germany,212,2,9864.26,4283,4932.13,0,2,2,5,225,68,2141.5,2,⚠️ At Risk,-1,True
12591,Italy,318,3,1338.95,653,446.32,91,2,3,4,234,63,217.67,0,💙 Loyal Customers,0,False
12592,Germany,93,5,2582.66,1875,516.53,427,3,4,4,344,42,375.0,0,💙 Loyal Customers,0,False
12593,France,109,3,418.1,206,139.37,110,3,3,2,332,14,68.67,0,💙 Loyal Customers,0,False
12594,Italy,38,15,5090.110000000001,2768,339.34,609,4,5,5,455,78,184.53,3,🏆 Champions,0,False
12595,Germany,505,1,299.02,271,299.02,0,1,1,2,112,19,271.0,2,⚠️ At Risk,0,False
12596,Spain,52,2,618.27,474,309.14,191,4,2,3,423,25,237.0,0,💙 Loyal Customers,0,False
12597,Spain,20,4,3811.22,2236,952.8,249,5,3,5,535,184,559.0,3,🏆 Champions,0,False
12598,France,10,11,4534.09,2906,412.19,639,5,5,5,555,130,264.18,3,🏆 Champions,0,False
