CustomerID,PrimaryCountry,FirstPurchaseDate,LastPurchaseDate,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,CustomerLifetimeDays,RecencyScore,FrequencyScore,MonetaryScore,RFMScore
12387,Australia,2010-10-20 16:27:00,2010-10-20 16:27:00,416,1,143.94,134,143.94,0,1,1,1,111
12388,Australia,2010-05-06 12:54:00,2011-11-24 12:30:00,16,8,3901.11,2001,487.64,567,5,4,5,545
12389,Australia,2010-02-22 10:15:00,2010-11-02 11:52:00,403,3,1433.33,614,477.78,253,2,3,4,234
12390,Belgium,2011-09-21 09:33:00,2011-09-21 09:33:00,80,1,549.84,353,549.84,0,3,1,2,312
12391,Cyprus,2010-02-15 10:12:00,2011-11-18 12:07:00,22,6,2724.84,1204,454.14,641,4,4,4,444
12392,Australia,2010-04-27 14:04:00,2010-04-27 14:04:00,592,1,234.75000000000003,73,234.75,0,1,1,1,111
12393,Australia,2010-10-07 13:49:00,2011-09-28 15:41:00,73,6,2399.45,1311,399.91,356,3,4,4,344
12394,Belgium,2011-05-06 14:01:00,2011-10-07 08:08:00,64,2,1272.48,819,636.24,154,3,2,4,324
12395,Belgium,2010-04-16 10:16:00,2011-11-20 15:21:00,20,15,4721.17,3205,314.74,583,5,5,5,555
12396,RSA,2010-02-03 13:22:00,2010-02-03 13:22:00,675,1,931.4300000000001,591,931.43,0,1,1,3,113
12397,Belgium,2011-07-27 14:21:00,2011-11-04 09:52:00,36,2,2409.9,1263,1204.95,100,4,2,4,424
12398,Switzerland,2011-10-25 10:27:00,2011-10-25 10:27:00,46,1,1635.6599999999999,1394,1635.66,0,4,1,4,414
12399,Belgium,2010-03-05 08:45:00,2011-08-12 13:15:00,120,7,1962.3,2198,280.33,525,3,4,4,344
12400,Australia,2010-10-21 13:45:00,2010-10-21 13:45:00,415,1,205.25,91,205.25,0,1,1,1,111
12401,Belgium,2011-02-09 13:50:00,2011-02-09 13:50:00,304,1,84.3,11,84.3,0,2,1,1,211
12402,Belgium,2010-02-07 12:41:00,2011-01-20 13:49:00,324,6,1256.9,584,209.48,347,2,4,4,244
12403,Denmark,2010-07-06 11:39:00,2011-10-21 10:51:00,50,2,1019.36,260,509.68,472,4,2,3,423
12404,Finland,2010-01-26 16:25:00,2010-01-26 16:25:00,683,1,63.24,1,63.24,0,1,1,1,111
12405,Finland,2011-07-14 08:52:00,2011-07-14 08:52:00,149,1,1710.39,857,1710.39,0,3,1,4,314
12406,Denmark,2010-01-11 14:04:00,2011-11-17 19:22:00,23,5,6390.36,3416,1278.07,675,4,4,5,445
12407,Belgium,2011-03-20 13:21:00,2011-10-21 10:11:00,50,5,1708.12,1416,341.62,215,4,4,4,444
12408,Belgium,2010-07-29 13:27:00,2011-11-07 12:27:00,33,8,4340.77,2229,542.6,466,4,4,5,445
12409,Switzerland,2010-05-23 15:21:00,2011-09-22 10:38:00,79,7,23419.29,13143,3345.61,487,3,4,5,345
12410,Switzerland,2010-07-25 13:26:00,2011-02-04 10:39:00,309,3,1013.71,341,337.9,194,2,3,3,233
12411,Australia,2010-10-26 09:25:00,2010-10-26 09:25:00,410,1,346.9,138,346.9,0,2,1,2,212
12412,Denmark,2010-06-18 13:22:00,2011-09-26 10:16:00,75,6,2596.93,1997,432.82,465,3,4,4,344
12413,France,2010-11-02 13:26:00,2011-10-04 09:00:00,67,4,999.45,319,249.86,336,3,3,3,333
12414,Austria,2010-09-02 12:22:00,2011-05-06 14:51:00,218,6,952.4100000000001,495,158.74,246,2,4,3,243
12415,Australia,2010-06-30 08:30:00,2011-11-15 14:22:00,25,28,144458.37,91447,5159.23,503,4,5,5,455
12416,Australia,2010-02-21 10:19:00,2010-02-21 10:19:00,657,1,202.56,132,202.56,0,1,1,1,111
12417,Belgium,2009-12-06 10:30:00,2011-12-06 14:52:00,4,20,6797.41,2884,339.87,730,5,5,5,555
12418,Switzerland,2010-03-19 14:47:00,2011-08-19 11:08:00,113,4,2021.2,1088,505.3,518,3,3,4,334
12419,Spain,2010-10-22 10:40:00,2010-11-19 10:04:00,386,2,503.01,231,251.5,28,2,2,2,222
12420,Cyprus,2011-10-07 08:55:00,2011-10-07 08:55:00,64,1,600.39,345,600.39,0,3,1,2,312
12421,Spain,2010-07-22 13:57:00,2011-11-24 09:07:00,16,6,1098.6,652,183.1,490,5,4,3,543
12422,Switzerland,2009-12-18 12:44:00,2011-09-05 09:48:00,96,17,5231.8,2596,307.75,626,3,5,5,355
12423,Belgium,2010-08-31 09:31:00,2011-12-09 10:10:00,1,10,2622.39,1793,262.24,465,5,5,4,554
12424,Australia,2010-06-09 15:15:00,2011-06-30 12:06:00,163,4,3340.0299999999997,2025,835.01,386,3,3,5,335
12425,Portugal,2010-09-17 14:10:00,2011-09-22 17:31:00,79,2,1741.41,1147,870.7,370,3,2,4,324
12426,Germany,2010-02-15 08:41:00,2011-05-29 12:26:00,195,2,1345.21,584,672.6,468,2,2,4,224
12427,Germany,2010-12-03 10:44:00,2011-11-18 08:56:00,22,3,825.8000000000001,533,275.27,350,4,3,3,433
12428,Finland,2011-03-01 09:33:00,2011-11-14 08:22:00,26,9,7956.46,3536,884.05,258,4,5,5,455
12429,Denmark,2010-06-11 13:28:00,2011-11-30 17:22:00,10,8,6204.41,2890,775.55,537,5,4,5,545
12430,Norway,2011-10-27 15:09:00,2011-10-27 15:09:00,44,1,256.4,117,256.4,0,4,1,1,411
12431,Australia,2010-01-15 09:04:00,2011-11-04 11:55:00,36,27,10432.220000000001,4600,386.38,658,4,5,5,455
12432,Norway,2011-06-20 13:27:00,2011-10-28 11:43:00,43,5,5059.32,1801,1011.86,130,4,4,5,445
12433,Norway,2010-08-20 09:23:00,2011-12-09 10:02:00,1,10,16794.14,13534,1679.41,476,5,5,5,555
12434,Australia,2010-11-23 13:38:00,2011-09-16 12:38:00,85,3,1103.43,532,367.81,297,3,3,3,333
12435,Denmark,2009-12-02 13:58:00,2011-09-21 09:06:00,80,6,13925.93,4958,2320.99,658,3,4,5,345
12436,Norway,2011-09-01 12:09:00,2011-09-01 12:09:00,100,1,509.01,211,509.01,0,3,1,2,312
12437,France,2009-12-02 16:24:00,2011-12-08 11:35:00,2,39,12683.4,8000,325.22,736,5,5,5,555
12438,Norway,2011-07-22 13:29:00,2011-11-25 13:28:00,15,2,2906.85,1180,1453.42,126,5,2,4,524
12439,Cyprus,2009-12-14 08:40:00,2010-01-26 12:11:00,683,2,1142.88,478,571.44,43,1,2,3,123
12440,Austria,2009-12-22 12:03:00,2010-09-03 13:11:00,463,2,859.2,331,429.6,255,1,2,3,123
12441,France,2010-12-08 10:45:00,2010-12-08 10:45:00,367,1,173.55,121,173.55,0,2,1,1,211
12442,Spain,2011-12-06 14:22:00,2011-12-06 14:22:00,4,1,172.06,182,172.06,0,5,1,1,511
12443,Norway,2009-12-07 15:42:00,2009-12-07 15:42:00,733,1,485.31,182,485.31,0,1,1,2,112
12444,Norway,2011-06-21 14:00:00,2011-11-18 13:23:00,22,5,5005.46,1153,1001.09,150,4,4,5,445
12445,Spain,2010-10-15 12:28:00,2011-11-17 18:43:00,23,2,434.98,206,217.49,398,4,2,2,422
12446,RSA,2011-10-13 12:50:00,2011-10-13 12:50:00,58,1,1002.3100000000001,351,1002.31,0,4,1,3,413
12447,Belgium,2011-04-10 13:25:00,2011-04-10 13:25:00,244,1,476.49,190,476.49,0,2,1,2,212
12448,Spain,2011-10-26 13:46:00,2011-10-26 13:46:00,45,1,449.45,243,449.45,0,4,1,2,412
12449,Belgium,2010-09-27 09:37:00,2011-11-17 13:46:00,23,6,4835.89,2282,805.98,416,4,4,5,445
12450,Spain,2010-08-22 13:11:00,2011-07-06 14:41:00,157,5,688.2,442,137.64,318,3,4,3,343
12451,Switzerland,2010-06-28 12:58:00,2011-11-29 08:40:00,11,8,12669.88,9359,1583.74,519,5,4,5,545
12452,Switzerland,2011-11-23 08:05:00,2011-11-23 10:28:00,17,2,430.57000000000005,185,215.29,0,5,2,2,522
12453,Austria,2011-07-28 14:08:00,2011-07-28 14:08:00,135,1,707.09,473,707.09,0,3,1,3,313
12454,Spain,2010-10-14 17:33:00,2011-10-14 17:13:00,57,5,16679.78,7703,3335.96,365,4,4,5,445
12455,Cyprus,2009-12-18 12:33:00,2011-09-27 15:31:00,74,10,5879.95,3302,588.0,648,3,5,5,355
12456,Switzerland,2011-03-30 09:12:00,2011-10-26 14:41:00,45,3,3181.04,1633,1060.35,210,4,3,5,435
12457,Switzerland,2010-09-30 17:59:00,2011-10-04 13:13:00,67,8,2995.91,1094,374.49,369,3,4,5,345
12458,Switzerland,2010-08-09 10:33:00,2011-09-29 15:25:00,72,4,1777.49,986,444.37,416,3,3,4,334
12459,Spain,2010-04-13 14:53:00,2010-04-13 14:53:00,606,1,454.36,258,454.36,0,1,1,2,112
12460,Belgium,2010-09-09 13:51:00,2010-09-09 13:51:00,457,1,326.65,170,326.65,0,1,1,2,112
12461,Switzerland,2011-07-08 10:23:00,2011-09-06 16:57:00,95,2,826.88,287,413.44,60,3,2,3,323
12462,Spain,2011-02-09 14:44:00,2011-11-21 09:11:00,19,2,1189.59,536,594.79,285,5,2,3,523
12463,Belgium,2011-04-12 12:47:00,2011-10-17 13:44:00,54,4,1344.78,776,336.2,188,4,3,4,434
12464,Belgium,2011-02-03 13:30:00,2011-11-29 13:33:00,11,8,1212.05,112,151.51,299,5,4,3,543
12465,Belgium,2011-06-23 13:37:00,2011-11-22 16:34:00,18,2,742.19,479,371.1,152,5,2,3,523
12466,France,2010-01-26 16:26:00,2010-01-26 16:26:00,683,1,56.73,1,56.73,0,1,1,1,111
12467,USA,2010-10-12 15:41:00,2010-10-12 15:41:00,424,1,132.8,129,132.8,0,1,1,1,111
12468,Germany,2010-01-26 10:09:00,2011-06-05 11:36:00,188,5,3670.7400000000002,2201,734.15,495,3,4,5,345
12469,Thailand,2010-06-21 10:30:00,2010-07-05 12:40:00,523,2,3070.54,2552,1535.27,14,1,2,5,125
12470,Unspecified,2010-01-19 11:01:00,2010-01-19 11:01:00,690,1,211.95,95,211.95,0,1,1,1,111
12471,Germany,2009-12-07 10:41:00,2011-12-07 15:43:00,3,79,39918.19,16858,505.29,730,5,5,5,555
12472,Germany,2009-12-14 10:49:00,2011-11-07 14:01:00,33,19,16249.29,10378,855.23,693,4,5,5,455
12473,Germany,2011-06-01 10:15:00,2011-11-10 13:46:00,30,5,3928.05,2414,785.61,162,4,4,5,445
12474,Germany,2010-02-11 09:41:00,2011-11-22 14:39:00,18,31,12372.75,7940,399.12,649,5,5,5,555
12475,Germany,2010-10-26 08:49:00,2011-10-17 10:10:00,54,2,1149.64,771,574.82,356,4,2,3,423
12476,Germany,2010-07-26 09:04:00,2011-11-24 12:40:00,16,23,14083.91,5631,612.34,486,5,5,5,555
12477,Germany,2010-03-26 14:01:00,2011-11-17 09:51:00,23,9,20276.37,6119,2252.93,601,4,5,5,455
12478,Greece,2011-12-06 09:56:00,2011-12-06 09:56:00,4,1,680.99,236,680.99,0,5,1,3,513
12479,Germany,2011-11-28 13:26:00,2011-11-28 13:26:00,12,1,527.2,385,527.2,0,5,1,2,512
12480,Germany,2010-07-20 13:21:00,2011-11-11 14:52:00,29,7,5464.85,2952,780.69,479,4,4,5,445
12481,Germany,2010-04-11 13:10:00,2011-11-17 08:29:00,23,15,12185.51,7158,812.37,585,4,5,5,455
12482,Sweden,2010-02-24 10:24:00,2010-05-12 16:51:00,577,29,23691.4,27042,816.94,77,1,5,5,155
12483,Sweden,2010-01-31 13:28:00,2011-11-22 17:02:00,18,19,5097.18,2160,268.27,660,5,5,5,555
12484,Spain,2010-01-27 16:41:00,2011-11-07 11:37:00,33,12,6354.1,3266,529.51,649,4,5,5,455
12485,Sweden,2010-06-28 15:22:00,2010-06-28 15:22:00,530,1,708.1,414,708.1,0,1,1,3,113
12486,Sweden,2010-10-04 12:14:00,2010-10-04 12:14:00,432,1,1037.28,523,1037.28,0,1,1,3,113
12487,Sweden,2009-12-09 11:36:00,2009-12-09 11:36:00,731,1,285.3,174,285.3,0,1,1,1,111
12488,France,2011-09-25 10:34:00,2011-11-30 08:50:00,10,3,1298.66,529,432.89,66,5,3,4,534
12489,France,2011-01-07 13:13:00,2011-01-07 13:13:00,337,1,334.93,105,334.93,0,2,1,2,212
12490,France,2009-12-01 12:52:00,2011-12-04 16:07:00,6,21,9823.64,5906,467.79,733,5,5,5,555
12491,France,2011-11-01 12:18:00,2011-11-01 12:18:00,39,1,460.40000000000003,260,460.4,0,4,1,2,412
12492,Germany,2010-11-01 14:58:00,2011-10-07 15:15:00,64,3,715.21,444,238.4,340,3,3,3,333
12493,France,2011-05-26 14:53:00,2011-06-27 10:17:00,166,2,433.74,207,216.87,32,3,2,2,322
12494,France,2010-05-12 13:52:00,2011-11-24 09:34:00,16,9,1815.27,979,201.7,561,5,5,4,554
12495,Sweden,2010-03-09 10:53:00,2010-03-09 10:53:00,641,1,357.4,130,357.4,0,1,1,2,112
12496,Spain,2010-03-29 13:57:00,2010-03-29 14:06:00,621,2,45.34,30,22.67,0,1,2,1,121
12497,Germany,2010-03-05 09:39:00,2011-09-19 12:29:00,82,3,6248.5,5685,2082.83,563,3,3,5,335
12498,Germany,2011-10-13 09:30:00,2011-11-18 12:53:00,22,3,403.70000000000005,159,134.57,36,4,3,2,432
12499,Germany,2010-05-28 15:12:00,2010-05-28 15:12:00,561,1,393.72,302,393.72,0,1,1,2,112
12500,Germany,2010-02-04 15:05:00,2011-11-16 16:20:00,24,19,5955.21,3377,313.43,650,4,5,5,455
12501,Germany,2011-01-07 12:28:00,2011-01-07 12:28:00,337,1,2169.39,1783,2169.39,0,2,1,4,214
12502,Spain,2011-02-03 10:41:00,2011-09-05 11:52:00,96,5,3723.87,820,744.77,214,3,4,5,345
12503,Spain,2010-05-04 13:59:00,2010-05-04 13:59:00,585,1,1126.0,561,1126.0,0,1,1,3,113
12504,Germany,2010-04-22 10:24:00,2011-11-21 16:02:00,19,4,779.05,458,194.76,578,5,3,3,533
12505,Italy,2010-10-27 09:18:00,2010-10-27 09:18:00,409,1,955.2,324,955.2,0,2,1,3,213
12506,France,2011-04-21 08:54:00,2011-04-21 08:54:00,233,1,73.5,23,73.5,0,2,1,1,211
12507,Spain,2010-05-04 09:23:00,2011-07-28 17:09:00,135,4,1844.06,1256,461.02,450,3,3,4,334
12508,France,2011-11-10 16:27:00,2011-11-13 15:37:00,27,2,397.88,271,198.94,3,4,2,2,422
12509,France,2011-02-28 14:45:00,2011-02-28 14:45:00,285,1,176.5,55,176.5,0,2,1,1,211
12510,Spain,2009-12-04 13:47:00,2011-07-20 10:15:00,143,9,5178.02,2049,575.34,593,3,5,5,355
12511,Greece,2010-10-07 10:39:00,2010-10-07 10:39:00,429,1,3084.02,1753,3084.02,0,1,1,5,115
12512,Israel,2011-10-04 14:53:00,2011-10-04 14:55:00,67,2,132.18,96,66.09,0,3,2,1,321
12513,France,2011-08-19 10:51:00,2011-08-19 10:51:00,113,1,612.29,462,612.29,0,3,1,3,313
12514,Italy,2010-03-08 12:18:00,2011-03-17 16:38:00,268,2,1597.76,840,798.88,374,2,2,4,224
12515,Italy,2010-12-21 15:43:00,2010-12-21 15:43:00,354,1,383.7,131,383.7,0,2,1,2,212
12516,Germany,2010-04-19 14:14:00,2011-09-23 09:13:00,78,4,2648.62,1952,662.16,522,3,3,4,334
12517,Germany,2011-06-02 15:13:00,2011-11-11 14:04:00,29,5,2481.6,1361,496.32,162,4,4,4,444
12518,Germany,2011-08-21 13:18:00,2011-12-09 10:13:00,1,5,2056.89,1318,411.38,110,5,4,4,544
12519,Germany,2010-08-20 08:21:00,2011-10-07 09:26:00,64,2,716.54,387,358.27,413,3,2,3,323
12520,Germany,2011-03-11 11:35:00,2011-09-21 15:23:00,80,5,2634.26,1439,526.85,194,3,4,4,344
12521,Germany,2011-07-20 10:51:00,2011-07-20 10:51:00,143,1,599.68,309,599.68,0,3,1,2,312
12522,Germany,2011-10-19 14:41:00,2011-10-31 15:30:00,40,2,192.72,194,96.36,12,4,2,1,421
12523,France,2009-12-07 13:46:00,2011-11-20 12:55:00,20,23,4352.35,2263,189.23,713,5,5,5,555
12524,Germany,2010-02-08 14:41:00,2011-11-30 15:31:00,10,17,11126.11,7178,654.48,660,5,5,5,555
12525,France,2010-03-02 14:01:00,2010-07-29 16:08:00,499,3,973.73,509,324.58,149,1,3,3,133
12526,Germany,2011-09-06 14:19:00,2011-12-09 12:09:00,1,3,1316.66,632,438.89,94,5,3,4,534
12527,Germany,2010-06-28 15:37:00,2011-09-19 11:55:00,82,5,735.51,526,147.1,448,3,4,3,343
12528,Germany,2011-01-31 09:05:00,2011-11-30 14:40:00,10,6,1933.48,756,322.25,303,5,4,4,544
12529,France,2010-06-29 13:10:00,2010-06-29 13:10:00,529,1,316.48,192,316.48,0,1,1,2,112
12530,Germany,2010-03-07 14:37:00,2011-10-11 12:34:00,60,9,3759.26,2713,417.7,583,3,5,5,355
12531,Germany,2010-01-22 14:17:00,2011-11-25 11:12:00,15,2,1933.2,1119,966.6,672,5,2,4,524
12532,France,2011-11-09 13:47:00,2011-11-09 13:47:00,31,1,349.83000000000004,153,349.83,0,4,1,2,412
12533,Germany,2009-12-01 11:50:00,2010-03-22 10:56:00,628,2,1367.89,704,683.94,111,1,2,4,124
12534,Germany,2011-08-01 10:26:00,2011-08-01 10:26:00,131,1,1089.18,651,1089.18,0,3,1,3,313
12535,France,2011-06-06 12:47:00,2011-09-09 08:48:00,92,2,716.35,219,358.18,95,3,2,3,323
12536,France,2011-10-11 14:52:00,2011-10-27 14:20:00,44,3,12601.830000000002,2803,4200.61,16,4,3,5,435
12537,Sweden,2010-10-27 08:36:00,2010-10-27 08:36:00,409,1,732.94,449,732.94,0,2,1,3,213
12538,Spain,2010-11-26 13:02:00,2011-11-10 17:16:00,30,2,640.45,336,320.23,349,4,2,3,423
12539,Spain,2009-12-23 13:00:00,2011-11-17 13:30:00,23,7,11214.75,4535,1602.11,694,4,4,5,445
12540,Spain,2009-12-07 16:56:00,2011-11-20 11:31:00,20,33,22254.49,11019,674.38,713,5,5,5,555
12541,Spain,2011-03-04 09:32:00,2011-11-10 10:40:00,30,3,981.18,680,327.06,251,4,3,3,433
12542,Spain,2010-03-09 16:26:00,2010-08-12 19:12:00,485,2,481.88,522,240.94,156,1,2,2,122
12543,Spain,2010-09-17 15:51:00,2010-09-17 15:51:00,449,1,980.25,688,980.25,0,1,1,3,113
12544,Spain,2011-11-03 16:15:00,2011-11-03 16:15:00,37,1,372.7,136,372.7,0,4,1,2,412
12545,Spain,2011-03-25 12:04:00,2011-09-25 13:39:00,76,2,1000.39,523,500.2,184,3,2,3,323
12546,Spain,2011-09-23 09:44:00,2011-10-24 12:09:00,47,2,1161.5,633,580.75,31,4,2,3,423
12547,Spain,2010-07-27 13:55:00,2011-05-26 12:38:00,198,3,383.58,309,127.86,303,2,3,2,232
12548,Spain,2011-06-26 15:35:00,2011-06-26 15:35:00,167,1,95.19999999999999,49,95.2,0,3,1,1,311
12549,USA,2010-01-11 12:29:00,2010-05-13 12:05:00,576,6,1575.68,1366,262.61,122,1,4,4,144
12550,Spain,2011-09-21 14:35:00,2011-09-21 14:35:00,80,1,964.83,569,964.83,0,3,1,3,313
12551,Spain,2010-12-17 11:23:00,2010-12-17 11:23:00,358,1,168.0,100,168.0,0,2,1,1,211
12552,Italy,2011-10-31 12:11:00,2011-11-01 10:02:00,39,2,437.82,88,218.91,1,4,2,2,422
12553,France,2010-10-12 13:35:00,2011-12-01 16:38:00,9,12,4608.75,2325,384.06,415,5,5,5,555
12554,Spain,2010-09-17 12:29:00,2010-09-17 12:29:00,449,1,468.5,240,468.5,0,1,1,2,112
12555,Spain,2010-01-26 16:26:00,2010-01-26 16:26:00,683,1,129.23,1,129.23,0,1,1,1,111
12556,Spain,2011-07-11 13:35:00,2011-10-20 13:06:00,51,2,599.56,355,299.78,101,4,2,2,422
12557,Spain,2009-12-17 10:39:00,2011-11-23 16:59:00,17,8,18096.14,6382,2262.02,706,5,4,5,545
12558,USA,2011-12-02 10:41:00,2011-12-02 10:41:00,8,1,269.96,196,269.96,0,5,1,1,511
12559,Germany,2011-01-24 10:12:00,2011-02-02 09:49:00,311,2,561.71,283,280.86,9,2,2,2,222
12560,Germany,2011-07-19 15:55:00,2011-12-04 13:54:00,6,3,2134.01,1110,711.34,138,5,3,4,534
12561,Germany,2011-02-10 11:39:00,2011-02-10 11:39:00,303,1,238.85,177,238.85,0,2,1,1,211
12562,France,2010-09-30 13:13:00,2011-12-01 17:20:00,9,9,4966.92,2327,551.88,427,5,5,5,555
12563,Italy,2010-10-27 09:52:00,2010-10-27 09:52:00,409,1,249.24,113,249.24,0,2,1,1,211
12564,France,2011-03-23 14:55:00,2011-03-23 14:55:00,262,1,456.90000000000003,133,456.9,0,2,1,2,212
12565,Saudi Arabia,2011-02-24 10:34:00,2011-02-24 10:34:00,289,1,145.92000000000002,80,145.92,0,2,1,1,211
12566,Germany,2011-09-14 14:30:00,2011-09-14 14:30:00,87,1,351.65,265,351.65,0,3,1,2,312
12567,France,2010-02-11 10:30:00,2011-11-17 11:02:00,23,15,11767.48,5308,784.5,644,4,5,5,455
12568,Germany,2010-03-05 09:15:00,2010-03-05 09:15:00,645,1,70.0,48,70.0,0,1,1,1,111
12569,Germany,2011-04-01 13:47:00,2011-12-07 16:24:00,3,32,4124.6900000000005,1801,128.9,250,5,5,5,555
12570,Spain,2010-01-26 17:28:00,2010-01-26 17:28:00,683,1,77.52,1,77.52,0,1,1,1,111
12571,France,2011-08-10 12:35:00,2011-10-31 10:19:00,40,2,519.61,523,259.8,82,4,2,2,422
12572,Germany,2011-10-19 08:20:00,2011-12-01 09:20:00,9,2,1020.4200000000001,452,510.21,43,5,2,3,523
12573,France,2010-08-31 17:25:00,2011-04-26 15:52:00,228,5,717.41,479,143.48,238,2,4,3,243
12574,France,2011-01-28 09:20:00,2011-01-28 09:20:00,316,1,218.45000000000002,61,218.45,0,2,1,1,211
12575,France,2010-07-01 09:15:00,2010-09-08 13:09:00,458,2,622.82,315,311.41,69,1,2,3,123
12576,Poland,2010-07-01 13:46:00,2011-11-04 10:11:00,36,8,2142.7200000000003,1494,267.84,491,4,4,4,444
12577,France,2009-12-03 19:31:00,2011-11-04 13:24:00,36,8,1617.1,1191,202.14,701,4,4,4,444
12578,Italy,2010-09-22 11:19:00,2011-11-18 13:30:00,22,4,4642.45,2380,1160.61,422,4,3,5,435
12579,France,2011-09-22 17:15:00,2011-09-22 17:15:00,79,1,440.42,285,440.42,0,3,1,2,312
12580,Germany,2010-05-12 11:45:00,2011-04-07 10:24:00,247,2,1052.9,569,526.45,330,2,2,3,223
